Dots,Paypal,Bank,Account,Click,Fill,URL,Javascript,Phishing
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
1,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
1,0,0,6,0,1,14,0,True
2,0,1,2,1,0,1,0,True
1,0,1,2,1,0,1,0,True
3,0,1,2,1,0,1,0,True
3,0,1,2,1,0,1,0,True
3,0,1,2,1,0,1,0,True
3,0,1,2,1,0,1,0,True
3,0,1,2,1,0,1,0,True
3,0,1,2,1,0,1,0,True
3,0,1,2,1,0,1,0,True
3,0,1,2,1,0,1,0,True
1,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
3,0,0,4,1,0,5,0,True
1,0,0,4,1,0,16,0,True
1,0,0,3,1,0,7,0,True
1,0,0,3,1,0,7,0,True
3,0,0,3,1,0,7,0,True
3,0,0,3,1,0,7,0,True
3,0,0,3,1,0,7,0,True
3,0,0,3,1,0,7,0,True
3,0,0,3,1,0,7,0,True
3,0,0,3,1,0,7,0,True
3,0,0,3,1,0,7,0,True
3,0,0,3,1,0,7,0,True
3,0,0,3,1,0,7,0,True
1,0,1,8,0,0,4,0,True
1,0,0,4,1,0,16,0,True
1,0,0,6,0,1,14,0,True
1,0,0,0,0,0,5,0,True
1,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
1,0,0,0,0,0,5,0,True
1,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
3,0,0,0,0,0,5,0,True
